KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
CHANGELING_1_MASTER_0,"∞ Engage the farthest hero within 5 spaces.
∞ Attack a hero.
∞ Engage the farthest hero."

EFFECT_CHANGELING_2,"Each attack gains Pierce 1. If a hero is defeated, each other hero moves 2 spaces away from that hero."
CHANGELING_2_MINION_0,"∞ Engage the hero within 5 spaces of this monster with the highest π.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the highest π."
CHANGELING_2_MASTER_0,"∞ Engage the hero within 5 spaces of this monster with the highest π.
∞ Attack the adjacent hero with the highest π.
∞ Engage the farthest hero."

EFFECT_CHANGELING_3,"Each Changeling uses ""Whisper"" after activating; each hero who fails moves 1 space away from the closest other hero and is Cursed."
CHANGELING_3_MINION_0,"∞ Engage the closest hero who is not Cursed.
∞ Attack a hero who is not Cursed.
∞ Engage the closest hero.
∞ Attack a hero."
CHANGELING_3_MASTER_0,"∞ Engage the closest hero who is not Cursed.
∞ Attack a hero who is not Cursed.
∞ Engage the closest hero.
∞ Attack a hero."

CHAOS_BEAST,"Chaos Beast"
PLURAL_CHAOS_BEAST,"Chaos Beasts"
INSTRUCTION_CHAOS_BEAST,"Chaos Beasts spend ± in the following order: \n ±: +X ≥ \n\nMorph: The Chaos Beast uses the dice of the figure it is attacking. If the target figure does not have attack dice, the Chaos Beast uses the dice of the figure in its line of sight with the most dice in its attack pool.\n\nSorcery: Range and ≥ are converted so that the maximum ≥ is dealt."

EFFECT_CHAOS_BEAST_1,"Each hero who suffers ≥ during an attack must unequip all of his equipped cards."
CHAOS_BEAST_1_MINION_0,"∞ Switch spaces with the master Chaos Beast.
∞ Attack the hero within 4 spaces with the most equipped cards.
∞ Spot the closest hero."
CHAOS_BEAST_1_MASTER_0,"∞ Switch spaces with the farthest hero in line of sight.
∞ Attack a hero with at least 1 equipped card.
∞ Engage the farthest hero in line of sight."

EFFECT_CHAOS_BEAST_2,"Apply +10 Speed to each Chaos Beast."
CHAOS_BEAST_2_MINION_0,"∞ Spot the closest hero.
∞ Attack the closest hero. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."
CHAOS_BEAST_2_MASTER_0,"∞ Spot the closest hero.
∞ Attack the closest hero. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."

EFFECT_CHAOS_BEAST_3,"Each hero who suffers ≥ during an attack moves away from the attacking monster a number of spaces equal to the amount of ≥ suffered ."
CHAOS_BEAST_3_MINION_0,"∞ Spot the closest hero.
∞ Attack the closest hero."
CHAOS_BEAST_3_MASTER_0,"∞ Spot the closest hero.
∞ Attack the closest hero."

CROW_HAG,"Crow Hag"
PLURAL_CROW_HAG,"Crow Hags"
INSTRUCTION_CROW_HAG,"Crow Hags spend ± in the following order: \n ±: +X ≥ \n\nDeath Omen: Each time a hero chooses to suffer a condition from ""Death Omen,"" he randomly chooses a condition he does not have and suffers that condition."

EFFECT_CROW_HAG_1,"""Death Omen"" affects each hero in line of sight."
CROW_HAG_1_MINION_0,"∞ Spot the hero with the most ≥ suffered.
∞ Attack the hero within 5 spaces of this monster with the most ≥ suffered. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."
CROW_HAG_1_MASTER_0,"∞ Use ""Death Omen"" on 3 or more heroes.
∞ Use ""Death Omen"" on 3 or more heroes.
∞ Spot as many heroes as possible.
∞ Use ""Death Omen"" on 1 or more heroes."

EFFECT_CROW_HAG_2,"At the end of each monster's activation, each hero who suffered ≥ during an attack moves 3 spaces toward the monster that performed the attack."
CROW_HAG_2_MINION_0,"∞ Spot the hero within 8 spaces of this monster with the least ≥ suffered.
∞ Attack the hero within 5 spaces of this monster with the least ≥ suffered.
∞ Spot the closest hero.
∞ Attack a hero."
CROW_HAG_2_MASTER_0,"∞ Use ""Death Omen"" on the hero within 5 spaces of this monster with the least ≥ suffered.
∞ Attack the hero within 3 spaces of this monster with the least ≥ suffered.
∞ Attack a hero.
∞ Spot the closest hero."

EFFECT_CROW_HAG_3,"Each time a hero suffers ≥, the Crow Hag with the most ≥ suffered recovers ≥ equal to the ≥ the hero suffered."
CROW_HAG_3_MINION_0,"∞ Spot the closest hero.
∞ Attack the closest hero.
∞ If adjacent to a hero, it performs a move action and retreats."
CROW_HAG_3_MASTER_0,"∞ Use ""Death Omen"" on the hero within 5 spaces and in line of sight of this monster with the most ≥ suffered.
∞ Use ""Death Omen"" on the hero within 5 spaces and in line of sight of this monster with the most ≥ suffered.
∞ Spot the closest hero."

CRYPT_DRAGON,"Crypt Dragon"
PLURAL_CRYPT_DRAGON,"Crypt Dragons"
INSTRUCTION_CRYPT_DRAGON,"Crypt Dragons spend ± in the following order: \n±: Blast (if at least 1 additional hero is affected)\n±: +X ≥\n\nCause Fear: Unless instructed otherwise, Cause Fear moves the hero away from the Crypt Dragon that performed it."

EFFECT_CRYPT_DRAGON_1,"Each hero who suffers ≥ during an attack is Diseased and Poisoned."
CRYPT_DRAGON_1_MINION_0,"∞ Spot the hero within 6 spaces of this monster with the most heroes adjacent.
∞ Attack the hero within 3 spaces of this monster with the most heroes adjacent. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."
CRYPT_DRAGON_1_MASTER_0,"∞ Use ""Cause Fear"" on a hero who is not adjacent to another hero. If he fails, move that hero adjacent to as many heroes as possible.
∞ Attack the hero within 3 spaces of this monster with the most heroes adjacent.
∞ If within 2 spaces of a hero, perform a move action and retreat."

EFFECT_CRYPT_DRAGON_2,"""Cause Fear"" affects each hero within 3 spaces."
CRYPT_DRAGON_2_MINION_0,"∞ Spot the closest hero.
∞ Attack the closest hero. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."
CRYPT_DRAGON_2_MASTER_0,"∞ Attack a hero within 3 spaces of this monster.
∞ Use ""Cause Fear"" on 2 or more heroes.
∞ Spot as many heroes as possible within 6 spaces of this monster."

EFFECT_CRYPT_DRAGON_3,"Each hero who suffers ≥ during an attack is affected as if by ""Cause Fear."""
CRYPT_DRAGON_3_MINION_0,"∞ Spot the hero within 6 spaces of this monster with the lowest π.
∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the lowest π.
∞ If within 2 spaces of a hero, perform a move action and retreat."
CRYPT_DRAGON_3_MASTER_0,"∞ Spot the hero within 6 spaces of this monster with the lowest π.
∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the lowest π.
∞ If within 2 spaces of a hero, perform a move action and retreat."

DARK_MINOTAUR,"Dark Minotaur"
DARK_MINOTAUR_PLURAL,"Dark Minotaurs"
DARK_MINOTAUR_INSTRUCTION,"Dark Minotaurs spend ± in the following order: \n±: Pierce X"

EFFECT_DARK_MINOTAUR_1,"""Bull Rush"" adds 2 red power dice instead of 1."
DARK_MINOTAUR_1_MINION,"∞ Engage the farthest hero within 5 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the hero with the least ≥ suffered.
∞ If adjacent to a hero, move 2 spaces away from that hero."
DARK_MINOTAUR_1_MASTER,"∞ Engage the farthest hero within 5 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the hero with the least ≥ suffered.
∞ If adjacent to a hero, move 2 spaces away from that hero."

EFFECT_DARK_MINOTAUR_2,"After this activation, each hero immediately suffers ≥ equal to the number of Dark Minotaur within 3 spaces of him."
DARK_MINOTAUR_2_MINION,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the hero with the lowest π.
∞ If adjacent to a hero, move 2 spaces away from that hero."
DARK_MINOTAUR_2_MASTER,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the hero with the lowest π."

EFFECT_DARK_MINOTAUR_3,"Each Diseased hero immediately gains 1 random condition he does not have for each Dark Minotaur within 3 spaces of him."
DARK_MINOTAUR_3_MINION,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the hero with the most conditions.
∞ If adjacent to a hero, move 2 spaces away from that hero."
DARK_MINOTAUR_3_MASTER,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the hero with the most conditions."

EFFECT_DARK_MINOTAUR_4,"Each hero not adjacent to a Dark Minotaur is immediately Doomed."
DARK_MINOTAUR_4_MINION,"∞ Engage the farthest hero within 5 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the hero with the least ≥ suffered.
∞ If adjacent to a hero, move 2 spaces away from that hero."
DARK_MINOTAUR_4_MASTER,"∞ Engage the farthest hero within 5 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the hero with the least ≥ suffered.
∞ If adjacent to a hero, move 2 spaces away from that hero."

DARK_PRIEST,"Dark Priest"
PLURAL_DARK_PRIEST,"Dark Priests"
INSTRUCTION_DARK_PRIEST,"Dark Priests spend ± in the following order: \n ±: +X ≥"

EFFECT_DARK_PRIEST_1,"Each time a hero suffers 1 ∏ from ""Dark Prayer,"" that hero resolves the effect again, continuing to do so until he passes."
DARK_PRIEST_1_MINION_0,"∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the least ∏ suffered.
∞ Use ""Dark Prayer"" on the hero within 5 spaces of this monster with the least ∏ suffered."
DARK_PRIEST_1_MASTER_0,"∞ Use ""Dark Prayer"" on the hero within 5 spaces of this monster with the least ∏ suffered.
∞ Use ""Dark Prayer"" on the hero within 5 spaces of this monster with the most ∏ suffered.
∞ Spot the closest hero."

EFFECT_DARK_PRIEST_2,"Each minion gains ∞ Heal."
DARK_PRIEST_2_MINION_0,"∞ Use ""Heal"" on the monster within 3 spaces of this monster with the most ≥ suffered.
∞ Use  ""Dark Prayer"" on the closest hero.
∞ Spot the closest hero."
DARK_PRIEST_2_MASTER_0,"∞ Spot the monster with the most ≥ suffered.
∞ Use ""Heal"" on the monster with the most ≥ suffered.
∞ Use  ""Dark Prayer"" on the closest hero."

EFFECT_DARK_PRIEST_3,"Each hero who suffers 1 ∏ from ""Dark Prayer"" also suffers a random condition he does not currently have."
DARK_PRIEST_3_MINION_0,"∞ Use ""Dark Prayer"" on the hero with the fewest conditions.
∞ Use ""Dark Prayer"" on the hero with the fewest conditions.
∞ Spot the closest hero."
DARK_PRIEST_3_MASTER_0,"∞ Use ""Dark Prayer"" on the hero with the fewest conditions.
∞ Attack the closest hero within 5 spaces of this monster.
∞ Spot the closest hero."

EFFECT_DARK_PRIEST_4,"Each hero who suffers 1 ∏ from ""Dark Prayer"" is also Doomed."
DARK_PRIEST_4_MINION_0,"∞ Use ""Dark Prayer"" on a hero who is not Doomed.
∞ Use ""Dark Prayer"" on a hero who is Doomed.
∞ Spot the closest hero."
DARK_PRIEST_4_MASTER_0,"∞ Use ""Dark Prayer"" on a hero who is not Doomed.
∞ Use ""Dark Prayer"" on a hero who is Doomed.
∞ Spot the closest hero."

DEEP_ELF,"Deep Elf"
PLURAL_DEEP_ELF,"Deep Elves"
INSTRUCTION_DEEP_ELF,"Deep Elves spend ± in the following order: \n ±: +X ≥"

EFFECT_DEEP_ELF_1,"The hero with the lowest μ tests μ. If he fails, place each Deep Elf on the map adjacent to that hero."
DEEP_ELF_1_MINION_0,"∞ Engage the closest hero.
∞ Attack the adjacent hero with the lowest μ. Then retreat.
∞ If adjacent to a hero, perform a move action and retreat."
DEEP_ELF_1_MASTER_0,"∞ Engage the closest hero.
∞ Attack the adjacent hero with the lowest μ."

EFFECT_DEEP_ELF_2,"Each time a Deep Elf defeats a hero, that Deep Elf immediately attacks another hero."
DEEP_ELF_2_MINION_0,"∞ Engage as many heroes as possible within 6 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the least Health remaining. Then retreat."
DEEP_ELF_2_MASTER_0,"∞ Engage as many heroes as possible within 6 spaces of this monster.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the least Health remaining."

EFFECT_DEEP_ELF_3,"Heroes cannot use Heroic Feats or exhaust cards during this activation."
DEEP_ELF_3_MINION_0,"∞ Engage the hero within 6 spaces of this monster with the most ≥ suffered.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the most ≥ suffered. Then retreat."
DEEP_ELF_3_MASTER_0,"∞ Engage the hero within 6 spaces of this monster with the least ≥ suffered.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the least ≥ suffered. "

DEMON_LORD,"Demon Lord"
PLURAL_DEMON_LORD,"Demon Lords"
INSTRUCTION_DEMON_LORD,"Demon Lords spend ± in the following order: \n ±: Wither\n\nSorcery: Range and ≥ are converted so that the maximum ≥ is dealt."

EFFECT_DEMON_LORD_1,"Each hero within 3 spaces of a Demon Lord tests π. Each hero who fails moves 2 spaces toward the closest Demon Lord."
DEMON_LORD_1_MINION_0,"∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the least ∏ suffered. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."
DEMON_LORD_1_MASTER_0,"∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the least ∏ suffered. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."

EFFECT_DEMON_LORD_2,"The hero with the highest ∑ tests π. If he fails, place each Demon Lord as close to that hero as possible and each Demon Lord recovers 4 ≥."
DEMON_LORD_2_MINION_0,"∞ Spot the closest hero.
∞ Attack the hero within 4 spaces of this monster with the highest ∑. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."
DEMON_LORD_2_MASTER_0,"∞ Spot the closest hero.
∞ Attack the hero within 4 spaces of this monster with the highest ∑. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."

EFFECT_DEMON_LORD_3,"The hero with the highest ∑ tests ∑. If he fails, place him adjacent to the farthest Demon Lord, in the space that is the farthest from his current space."
DEMON_LORD_3_MINION_0,"∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the highest ∑. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."
DEMON_LORD_3_MASTER_0,"∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the highest ∑. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."

EFFECT_DEMON_LORD_4,"Each hero immediately tests ∑ for each Demon Lord in his line of sight. Each hero who fails 1 or more tests is Burning."
DEMON_LORD_4_MINION_0,"∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the most Health remaining.
∞ If within 2 spaces of a hero, perform a move action and retreat."
DEMON_LORD_4_MASTER_0,"∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the most Health remaining. Then retreat.
∞ If within 2 spaces of a hero, perform a move action and retreat."

DISPOSSESSED,"Dispossessed"
PLURAL_DISPOSSESSED,"Dispossessed"
INSTRUCTION_DISPOSSESSED,"Master Dispossessed spend ± in the following order: \n±: Terrify \n±: +X ≥ \n\nEthereal Hold: Because there is no overlord turn, ""Ethereal Hold"" is used at the start of the Dispossessed's activation instead. If a Dispossessed has a hero token on its base and there is an empty space adjacent to the corresponding hero, discard that token, remove that Dispossessed from the map, and place it adjacent to that hero.\n\nFearbrand: At the end of each Dispossessed activation, each Dispossessed uses ""Fearbrand"" on the farthest hero in its line of sight; place that hero's hero token on its base."

EFFECT_DISPOSSESSED_1,"Immediately use ""Ethereal Hold."" Each time a hero suffers ≥ during an attack, that hero immediately tests ∂. If he passes, remove the attacking monster from the map and place it in the farthest space in line of sight of that hero. After this activation, each Dispossessed uses ""Fearbrand."""
DISPOSSESSED_1_MINION_0,"∞ Attack the adjacent hero with the least Health remaining.
∞ If within 6 spaces of a hero, perform a move action and retreat."
DISPOSSESSED_1_MASTER_0,"∞ Attack the adjacent hero with the least Health remaining.
∞ If within 6 spaces of a hero, perform a move action and retreat."

EFFECT_DISPOSSESSED_2,"Immediately use ""Ethereal Hold."" Each time a hero does not suffers ≥ during an attack, that hero tests ∑. If he passes, he suffers ∏ equal to his defense results. After this activation, each Dispossessed uses ""Fearbrand."""
DISPOSSESSED_2_MINION_0,"∞ Attack the adjacent hero with the least Health remaining.
∞ If within 6 spaces of a hero, perform a move action and retreat."
DISPOSSESSED_2_MASTER_0,"∞ Attack the adjacent hero with the least Health remaining.
∞ If within 6 spaces of a hero, perform a move action and retreat."

EFFECT_DISPOSSESSED_3,"Immediately use ""Ethereal Hold."" If a hero rolls 1 or more blank results when rolling defense dice, that hero tests μ. If he passes, he is Stunned and Immobilized. After this activation, each Dispossessed uses ""Fearbrand."""
DISPOSSESSED_3_MINION_0,"∞ Attack the adjacent hero with the least Health remaining.
∞ If within 6 spaces of a hero, perform a move action and retreat."
DISPOSSESSED_3_MASTER_0,"∞ Attack the adjacent hero with the least Health remaining.
∞ If within 6 spaces of a hero, perform a move action and retreat."

EFFECT_DISPOSSESSED_4,"Immediately use ""Ethereal Hold."" Each time a hero suffers ≥ equal to his Health, before being defeated, that hero tests π. If he passes, each hero within 3 spaces if him moves 1 space away and is Immobilized. After this activation, each Dispossessed uses ""Fearbrand."""
DISPOSSESSED_4_MINION_0,"∞ Attack the adjacent hero with the least Health remaining.
∞ If within 6 spaces of a hero, perform a move action and retreat."
DISPOSSESSED_4_MASTER_0,"∞ Attack the adjacent hero with the least Health remaining.
∞ If within 6 spaces of a hero, perform a move action and retreat."

ELEMENTAL,"Elemental"
PLURAL_ELEMENTAL,"Elementals"
INSTRUCTION_ELEMENTAL,"Air: Until this monster's next activation, only adjacent heroes can attack it."

EFFECT_ELEMENTAL_1,"Immediately after an Elemental uses ""Earth,"" place it in the closest empty spaces not adjacent to any hero."
ELEMENTAL_1_MINION_0,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Use ""Earth.""
∞ Spot the closest hero.
∞ Attack the closest hero."
ELEMENTAL_1_MASTER_0,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Use ""Earth.""
∞ Spot the closest hero.
∞ Attack the closest hero."

EFFECT_ELEMENTAL_2,"""Water"" affects each hero on the map."
ELEMENTAL_2_MINION_0,"∞ Attack a hero within 3 spaces.
∞ Spot the closest hero.
∞ Use ""Water.""
∞ If within 2 spaces of a hero, perform a move action and retreat."
ELEMENTAL_2_MASTER_0,"∞ Attack a hero within 3 spaces.
∞ Spot the closest hero.
∞ Use ""Water.""
∞ If within 2 spaces of a hero, perform a move action and retreat."

EFFECT_ELEMENTAL_3,"After each Elemental's activation, that Elemental uses ""Air."""
ELEMENTAL_3_MINION_0,"∞ Spot the closest hero.
∞ Attack the closest hero in line of sight.
∞ If within 2 spaces of a hero, perform a move action and retreat."
ELEMENTAL_3_MASTER_0,"∞ Spot the closest hero.
∞ Attack the closest hero in line of sight.
∞ If within 2 spaces of a hero, perform a move action and retreat."

EFFECT_ELEMENTAL_4,"Each hero who suffers ≥ during an attack is Burning."
ELEMENTAL_4_MINION_0,"∞ Spot the closest hero who is not Burning.
∞ Attack the closest hero who is not Burning.
∞ Spot the closest hero.
∞ Attack the closest hero."
ELEMENTAL_4_MASTER_0,"∞ Engage as many heroes as possible within 4 spaces of this monster.
∞ Use ""Fire"" on 2 or more heroes.
∞ Spot the closest hero.
∞ Attack the hero within 3 spaces with the highest Health."

ETTIN,"Ettin"
PLURAL_ETTIN,"Ettins"
INSTRUCTION_ETTIN,"Ettins spend ± in the following order: \n ±: +X ≥ \n\nThrow: Place the hero as far as possible from the closest other hero."

EFFECT_ETTIN_1,"Each hero adjacent to the minion applies -2 to his ∂ (to a minimum of 1)."
ETTIN_1_MINION_0,"∞ Engage the closest hero.
∞ Attack the hero within 2 spaces of this monster with the least ≥ suffered."
ETTIN_1_MASTER_0,"∞ Attack an adjacent hero.
∞ Engage the closest hero.
∞ Use ""Throw"" on the adjacent hero with the lowest ∂."

EFFECT_ETTIN_2,"""Throw"" places the hero 5 spaces away instead of 3."
ETTIN_2_MINION_0,"∞ Engage the closest hero.
∞ Attack the hero within 2 spaces of this monster with the most ≥ suffered."
ETTIN_2_MASTER_0,"∞ Engage the hero within 5 spaces of this monster with the lowest ∂.
∞ Use ""Throw"" on the adjacent hero with the lowest ∂."

EFFECT_ETTIN_3,"Each Ettin immediately uses ""Throw"" on the adjacent hero with the lowest ∂."
ETTIN_3_MINION_0,"∞ Attack a hero.
∞ Use ""Throw"" on the adjacent hero with the lowest ∂.
∞ Engage the closest hero."
ETTIN_3_MASTER_0,"∞ Attack a hero.
∞ Use ""Throw"" on the adjacent hero with the lowest ∂.
∞ Engage the closest hero."

FERROX,"Ferrox"
PLURAL_FERROX,"Ferrox"
INSTRUCTION_FERROX,"Ferrox spend ± in the following order: \n±: Pierce X (if the ≤ results are equal to or greater than X) \n±: Disease"

EFFECT_FERROX_1,"After this activation, each Diseased hero tests ∂. Each hero who fails suffers ≥ equal to the amount of ∏ he has suffered."
FERROX_1_MINION_0,"∞ Engage the hero within 5 spaces of this monster with the lowest π.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the lowest π."
FERROX_1_MASTER_0,"∞ Attack the adjacent hero with the lowest ∂.
∞ Use ""Extract"" on the adjacent hero with the lowest ∂.
∞ Engage the hero within 5 spaces of this monster with the lowest ∂.
∞ Engage the closest hero."

EFFECT_FERROX_2,"Each hero with a faceup Search card and within 3 spaces of a Ferrox must immediately test μ. Each hero who fails must flip 1 of his Search cards facedown. Each time a Search card is flipped facedown, each Ferrox recovers 1 ≥."
FERROX_2_MINION_0,"∞ Engage the hero within 5 spaces of this monster with the lowest μ.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the lowest μ."
FERROX_2_MASTER_0,"∞ Attack the adjacent hero with the lowest ∂.
∞ Use ""Extract"" on the adjacent hero with the lowest ∂.
∞ Engage the hero within 5 spaces of this monster with the lowest ∂.
∞ Engage the closest hero."

EFFECT_FERROX_3,"The hero with the highest ∑ immediately switches spaces with the master Ferrox. If the master Ferrox is not on the map, place it adjacent to the hero with the highest ∑."
FERROX_3_MINION_0,"∞ Engage the hero within 5 spaces of this monster with the highest ∑.
∞ Engage the closest hero.
∞ Attack the adjacent hero with the highest ∑."
FERROX_3_MASTER_0,"∞ Attack the adjacent hero with the highest ∑.
∞ Use ""Extract"" on the adjacent hero with the highest ∑.
∞ Engage the hero within 5 spaces of this monster with the highest ∑.
∞ Engage the closest hero."

FIRE_IMP,"Fire Imp"
PLURAL_FIRE_IMP,"Fire Imps"
INSTRUCTION_FIRE_IMP,"Master fire imps spend ± in the following order: \n±: Burn \n±: +X ≥ \n\nMinion fire imps spend ± in the following order: \n±: Range (if necessary) \n±: Burn"

EFFECT_FIRE_IMPS_1,"Each master's attack gains Blast."
FIRE_IMPS_1_MINION_0,"∞ Spot the closest hero who is not Burning.
∞ Attack a hero within 3 spaces of this monster who is not Burning.
∞ Attack a hero within 3 spaces.
∞ Spot the closest hero."
FIRE_IMPS_1_MASTER_0,"∞ Spot the closest hero who is adjacent to another hero.
∞ Attack a hero within 3 spaces of this monster who is adjacent to another hero.
∞ Attack a hero within 3 spaces of this monster.
∞ Spot the closest hero."

EFFECT_FIRE_IMPS_2,"Each attack that targets a hero who is Burning gains +1 ≥."
FIRE_IMPS_2_MINION_0,"∞ Spot the closest hero who is not Burning.
∞ Attack a hero within 3 spaces of this monster who is not Burning.
∞ Attack the hero within 3 spaces of this monster with the most Health remaining.
∞ Spot the closest hero."
FIRE_IMPS_2_MASTER_0,"∞ Spot the closest hero who is not Burning.
∞ Attack a hero within 3 spaces of this monster who is not Burning.
∞ Attack the hero within 3 spaces of this monster with the most Health remaining.
∞ Spot the closest hero."

EFFECT_FIRE_IMPS_3,"Each attack gains +3 Range."
FIRE_IMPS_3_MINION_0,"∞ Spot the hero with the lowest μ.
∞ Attack the hero within 5 spaces of this monster with the lowest μ."
FIRE_IMPS_3_MASTER_0,"∞ Spot the hero with the lowest μ.
∞ Attack the hero within 5 spaces of this monster with the lowest μ."

EFFECT_FIRE_IMPS_4,"If a hero is Burning after being attacked, that hero is also Terrified."
FIRE_IMPS_4_MINION_0,"∞ Spot the closest hero who is not Burning.
∞ Attack a hero within 3 spaces of this monster who is not Burning.
∞ Attack the hero within 3 spaces of this monster with the highest ∑.
∞ Spot the closest hero."
FIRE_IMPS_4_MASTER_0,"∞ Spot the closest hero who is not Burning.
∞ Attack a hero within 3 spaces of this monster who is not Burning.
∞ Attack the hero within 3 spaces of this monster with the lowest ∑.
∞ Spot the closest hero."

FLESH_MOULDER,"Flesh Moulder"
PLURAL_FLESH_MOULDER,"Flesh Moulders"
INSTRUCTION_FLESH_MOULDER,"Flesh Moulders spend ± in the following order: \n±: Mend X \n±: +X ≥ \n\nMend: The Flesh Moulder only uses Mend if that Flesh Moulder has suffered ≥ equal to or greater than X).\n\nHeal: Flesh Moulders only use ""Heal"" on a monster if that monster has suffered at least 1 ≥."

EFFECT_FLESH_MOULDER_1,"""Heal"" affects each monster within 3 spaces of the master."
FLESH_MOULDER_1_MINION_0,"∞ Spot the closest hero.
∞ Attack the closest hero.
∞ If within 2 spaces of a hero, perform a move action and retreat."
FLESH_MOULDER_1_MASTER_0,"∞ Spot as many monsters within 5 spaces of this monster that have suffered ≥ as possible.
∞ Use ""Heal"" on 1 or more monsters.
∞ Each hero in line of sight of this monster suffers 2 ≥."

EFFECT_FLESH_MOULDER_2,"Each time a Flesh Moulder recovers ≥, each monster within 3 spaces that is not a Flesh Moulder recovers an equal amount of ≥."
FLESH_MOULDER_2_MINION_0,"∞ Spot the closest hero.
∞ Attack the closest hero.
∞ Each Flesh Moulder recovers 1 ≥."
FLESH_MOULDER_2_MASTER_0,"∞ Spot the monster with the most ≥ suffered.
∞ Use ""Heal"" on a monster.
∞ Attack the closest hero.
∞ If within 2 spaces of a hero, perform a move action and retreat."

EFFECT_FLESH_MOULDER_3,"Each time a hero suffers ≥, the closest monster to that hero that has suffered ≥ recovers 1 ≥."
FLESH_MOULDER_3_MINION_0,"∞ Spot the closest hero.
∞ Attack the hero within 3 spaces of this monster with the lowest ∂.
∞ If within 2 spaces of a hero, perform a move action and retreat."
FLESH_MOULDER_3_MASTER_0,"∞ Spot the hero with the most ∏ suffered.
∞ Attack the hero within 3 spaces of this monster with the most ∏ suffered.
∞ If within 2 spaces of a hero, perform a move action and retreat."

GIANT,"Giant"
PLURAL_GIANT,"Giants"
INSTRUCTION_GIANTS,"Giants spend ± in the following order: \n ±: Stun"

EFFECT_GIANT_1,"Move each figure that suffers ≥ during an attack 3 spaces away from the monster that performed the attack."
GIANT_1_MINION_0,"∞ Engage the hero within 5 spaces of this monster with the highest ∂.
∞ Attack the hero within 2 spaces of this monster with the highest ∂.
∞ Engage the closest hero."
GIANT_1_MASTER_0,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Use ""Sweep"" on 2 or more heroes.
∞ Attack a hero.
∞ Engage the closest hero."

EFFECT_GIANT_2,"Immediately before the master Giant uses ""Sweep,"" each other monster within 2 space of the master Giant moves 2 spaces away from it."
GIANT_2_MINION_0,"∞ Engage the hero within 5 spaces of this monster with the highest Health.
∞ Attack the hero within 2 spaces of this monster with the highest Health.
∞ Engage the closest hero."
GIANT_2_MASTER_0,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Use ""Sweep"" on 2 or more heroes.
∞ Attack a hero.
∞ Engage the closest hero."

EFFECT_GIANT_3,"""Sweep"" does not affect monsters."
GIANT_3_MINION_0,"∞ Engage the hero within 5 spaces of this monster with the highest Health.
∞ Engage the closest hero.
∞ Attack the hero within 2 spaces of this monster with the highest Health."
GIANT_3_MASTER_0,"∞ Engage as many heroes as possible within 5 spaces of this monster.
∞ Use ""Sweep"" on 2 or more heroes.
∞ Attack a hero.
∞ Engage the closest hero."

GOBLIN_ARCHER,"Goblin Archer"
PLURAL_GOBLIN_ARCHER,"Goblin Archers"
